level,task,total,pos_support,neg_support,accuracy,tpr_recall_sensitivity,tnr_specificity,fpr,fnr,precision_ppv,npv,f1,prevalence,balanced_accuracy,youden_j,mcc,TP,FP,TN,FN
global,any_alert,250,150,100,0.564,0.3466666666666667,0.89,0.10999999999999999,0.6533333333333333,0.8253968253968254,0.47593582887700536,0.48826291079812206,0.6,0.6183333333333334,0.2366666666666668,0.2670494239739277,52,11,89,98
global,cwe_aware,250,150,100,0.46,0.17333333333333334,0.89,0.10999999999999999,0.8266666666666667,0.7027027027027027,0.41784037558685444,0.27807486631016043,0.6,0.5316666666666667,0.06333333333333346,0.08737502479735626,26,11,89,124
