group,key,task,total,pos_support,neg_support,accuracy,tpr_recall_sensitivity,tnr_specificity,fpr,fnr,precision_ppv,npv,f1,f0_5,f2,prevalence,predicted_positive_rate,predicted_negative_rate,fdr,for,threat_score,mcc,balanced_accuracy,youden_j,g_mean,lr_plus,lr_minus,diagnostic_odds_ratio,cohens_kappa,markedness,owasp_score,TP,FP,TN,FN
category,pathtraver,any_alert,268,133,135,0.664179104477612,0.6390977443609023,0.6888888888888889,0.3111111111111111,0.3609022556390977,0.6692913385826772,0.6595744680851063,0.6538461538461539,0.6630265210608425,0.6449165402124432,0.4962686567164179,0.47388059701492535,0.5261194029850746,0.33070866141732286,0.3404255319148936,0.4857142857142857,0.32842592577313845,0.6639933166248956,0.32798663324979116,0.6635264388132376,2.0542427497314715,0.5238903710890128,3.9211309523809526,0.3280962727728565,0.32886580666778364,32.79866332497912,85,42,93,48
category,pathtraver,cwe_aware,268,133,135,0.6455223880597015,0.6015037593984962,0.6888888888888889,0.3111111111111111,0.3984962406015038,0.6557377049180327,0.636986301369863,0.627450980392157,0.644122383252818,0.6116207951070336,0.4962686567164179,0.4552238805970149,0.5447761194029851,0.3442622950819672,0.363013698630137,0.45714285714285713,0.2915559970284186,0.6451963241436925,0.2903926482873851,0.6437151982628029,1.9334049409237377,0.5784622847441184,3.3423180592991906,0.29057066428889883,0.29272400628789574,29.03926482873851,80,42,93,53
category,hash,any_alert,236,129,107,0.4576271186440678,0.023255813953488372,0.9813084112149533,0.01869158878504673,0.9767441860465116,0.6,0.45454545454545453,0.04477611940298507,0.10067114093959731,0.028790786948176585,0.5466101694915254,0.0211864406779661,0.9788135593220338,0.4,0.5454545454545454,0.022900763358778626,0.01577839460973306,0.5022821125842208,0.004564225168441682,0.15106662716234917,1.2441860465116277,0.9953488372093023,1.2499999999999998,0.004153754862530486,0.05454545454545445,0.45642251684416824,3,2,105,126
category,hash,cwe_aware,236,129,107,0.4449152542372881,0.0,0.9813084112149533,0.01869158878504673,1.0,0.0,0.44871794871794873,0.0,0.0,0.0,0.5466101694915254,0.00847457627118644,0.9915254237288136,1.0,0.5512820512820513,0.0,-0.10151028227298525,0.49065420560747663,-0.01869158878504673,0.0,0.0,1.019047619047619,0.0,-0.016973684210526394,-0.5512820512820513,-1.869158878504673,0,2,105,129
category,trustbound,any_alert,126,83,43,0.4365079365079365,0.18072289156626506,0.9302325581395349,0.06976744186046513,0.8192771084337349,0.8333333333333334,0.37037037037037035,0.29702970297029707,0.4838709677419355,0.21428571428571427,0.6587301587301587,0.14285714285714285,0.8571428571428571,0.16666666666666666,0.6296296296296297,0.1744186046511628,0.15033973543671503,0.5554777248528999,0.11095544970579985,0.41001746028195013,2.590361445783132,0.880722891566265,2.9411764705882346,0.08133086876155265,0.20370370370370372,11.095544970579985,15,3,40,68
category,trustbound,cwe_aware,126,83,43,0.31746031746031744,0.0,0.9302325581395349,0.06976744186046513,1.0,0.0,0.3252032520325203,0.0,0.0,0.0,0.6587301587301587,0.023809523809523808,0.9761904761904762,1.0,0.6747967479674797,0.0,-0.2169765952388692,0.46511627906976744,-0.06976744186046513,0.0,0.0,1.075,0.0,-0.04817179338363321,-0.6747967479674797,-6.976744186046513,0,3,40,83
category,crypto,any_alert,246,130,116,0.44715447154471544,0.27692307692307694,0.6379310344827587,0.3620689655172413,0.7230769230769231,0.46153846153846156,0.44047619047619047,0.3461538461538462,0.40723981900452494,0.30100334448160543,0.5284552845528455,0.3170731707317073,0.6829268292682927,0.5384615384615384,0.5595238095238095,0.20930232558139536,-0.09134029517918625,0.4574270557029178,-0.08514588859416439,0.420306822373474,0.764835164835165,1.1334719334719334,0.6747720364741643,-0.08313908313908322,-0.09798534798534797,-8.514588859416438,36,42,74,94
category,crypto,cwe_aware,246,130,116,0.32926829268292684,0.05384615384615385,0.6379310344827587,0.3620689655172413,0.9461538461538461,0.14285714285714285,0.3756345177664975,0.0782122905027933,0.10736196319018404,0.06151142355008787,0.5284552845528455,0.1991869918699187,0.8008130081300813,0.8571428571428571,0.6243654822335025,0.040697674418604654,-0.38524259137024014,0.3458885941644563,-0.30822281167108745,0.1853378877240018,0.14871794871794874,1.483160083160083,0.10027100271002712,-0.29705374832236214,-0.48150833937635973,-30.822281167108745,7,42,74,123
category,cmdi,any_alert,251,126,125,0.7330677290836654,0.753968253968254,0.712,0.28800000000000003,0.24603174603174605,0.7251908396946565,0.7416666666666667,0.7392996108949417,0.7307692307692307,0.7480314960629921,0.50199203187251,0.5219123505976095,0.47808764940239046,0.2748091603053435,0.25833333333333336,0.5864197530864198,0.4664126682361434,0.732984126984127,0.4659682539682539,0.7326836949362233,2.6179453262786594,0.34555020510076695,7.57616487455197,0.4660422289252263,0.46685750636132317,46.596825396825395,95,36,89,31
category,cmdi,cwe_aware,251,126,125,0.7290836653386454,0.746031746031746,0.712,0.28800000000000003,0.25396825396825395,0.7230769230769231,0.7355371900826446,0.7343749999999999,0.7275541795665635,0.7413249211356467,0.50199203187251,0.5179282868525896,0.4820717131474104,0.27692307692307694,0.2644628099173554,0.5802469135802469,0.45832283709769206,0.729015873015873,0.458031746031746,0.7288172632248794,2.5903880070546736,0.35669698591046906,7.262152777777778,0.45808991617983236,0.4586141131595678,45.803174603174604,94,36,89,32
